"ID","Line","Sequence"
88,"Cv6","004-066-760.004-066"
89,"Cr4","073f?-001-005"
90,"Cr4","073f?-091-091-730-730"
91,"Cr8","280-385y-385"
92,"Cr7","390.041-378-041-670-008.078.711"
93,"Cr9","215.002-010.002-005-002-069-002"
94,"Cr10","010f.070-760-040-006-430-047"
95,"Ev4","088-001-047-001"
96,"Ev4","280-001-280-002-001"
97,"Ev4","001f-057-001-001f-163-200-001.062-522fy"
98,"Sv2","062.001-631-607-089a-096-205-067"
99,"Cv2","370-379.013-379.013"
100,"Cv3","001.072-077-027.711"
101,"Ev5","207-040h-073.006-053"
102,"Cv6","017-010-006V-381	#corrected Barthel"
103,"Hr2-3","600-700-671a-020-084a.003a-200.001-260-001?-062y.001.003a-070-060a-220.005j-256b.711t"
104,"Pr9","022-048a-002a-001-491a-522?"
105,"Da3","600-002-200.052x"
106,"Da4","073.064-052.590.052-000!"
107,"Da5","001?.380?-002-003-730"
108,"Sr6","007-600-007.010"
110,"Er1","004.430-022.430y"
111,"Er1","041-300y-300.024"
112,"Er5","300y?.044-300y?.044-300.053-300.053-200.053-017-053-017"
113,"Er7","092-050.006-670"
114,"Ev2","294s-002.071-211s-091-071-006-047.010f.201s"
115,"Ev2","067.400-400.004-700-004-700	#corrected Barthel"
116,"Ev2","607-009.006-607-009.006"
117,"Hr3","062y.006-001-062y.006-001-062y.006-001!"
118,"Ev5","091-774-581.011"
119,"Ev8","068.010-077.254-055b-095-326-019-057-019-107"
120,"Ev6","515-040-670-002.006-001?.062-200.022-010.110	# corrected Barthel"
121,"Ev7","566s-074-035-070-035-400-035-071.065.071-035-010.067-035-276.076?-188-031-509-062?.004?-009"
122,"Sv4","600-062.009-232s-600"
123,"Gr5","290.020-079-280-002-280-030a"
124,"Gr5","280-001-521-280-001-022.061-280"
125,"Gr7","098-007"
126,"Gr8","059f.076-187-186-607.700x.076-205.076?-113"
127,"Gv3","430.076-070"
128,"Gv6","200-730-517a.076"
129,"Hr11","200-200-076-755-090"
130,"Hv4","205-316cs-081-420y-020b.010-002.062-144f-591-048bf-700cx-081-589-031c"
131,"Pv6","200.600.069h-200j.560.001"
132,"Hv5","200.050a-001a-200.050a-001.240.050a"
133,"Hv7","280-604s.075-025af"
134,"Hv8","002a.010-254-079-001.600-093f"
135,"Pv10","401a.394asy-200.093j"
136,"Hv9","070-066-600-670"
137,"Ia5","084.076-670-700-090.076-607-073f:490"
138,"Ia7","178.076-728-146.053"
139,"Ia8","208.076-007-146-384-090.092-090.076-090.076-020.010-087-529a-005-005-005"
140,"Ia9","023.076-146f-001V.069-280.076-160-676-023.076-022h-530-451-430.076-530-298"
143,"Qv4","073f-001-057c-001-069b!-(1-2)!-607.074f"
144,"Rv7","040-005-600-020-020-080-004"
146,"Sr4","091.206.052x-280-522"
147,"Sr5","027-700.006-306s-260s.008	# corrected Barthel"
148,"Sr5","070-300.005"
149,"Sr6","205.711v	# corrected Barthel"
150,"Sr7","000!-090f-090f:090f-070"
151,"Sr8","091.076-070"
152,"Sv4","001.520f-004.064"
153,"Sv5","059f.055b-035"
154,"Sv7","306s.003-522f.003-022f.003-006.074f.003-145.003-102"
